objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,specobjid,class,redshift,plate,mjd,fiberid
1237646798137459660,121.061604737861,1.00643834558467,19.45568,17.47262,16.46651,16.00808,15.6326,308,301,5,98,16.50812,102.554,259.0573,395.1564,558.4157,5342612310367424512,GALAXY,0.09642675,4745,55892,790
1237664289924776047,176.34300742211,14.3666088049468,17.66014,16.14373,15.4843,15.1546,14.98661,4381,301,2,39,86.28646,348.7445,640.1447,867.2804,1012.405,1983923104325330944,GALAXY,0.01113184,1762,53415,318
1237652599034544318,335.550987183878,-9.31175532154633,19.23524,18.84465,18.39374,18.44836,18.47765,1659,301,2,203,20.22485,28.9826,43.90367,41.74901,40.62512,810697722838411264,QSO,1.112692,720,52206,181
1237663230698193942,354.693901572994,48.3605073305277,19.09629,17.93505,17.5737,17.42831,17.36735,4134,301,5,340,22.98616,66.98544,93.437,106.8253,112.9903,2125704026262628352,STAR,-0.0002692318,1888,53239,18
1237655130909376713,241.748692014922,51.152322988682,19.34924,17.52549,16.6805,16.29364,15.98426,2248,301,6,75,18.20866,97.67976,212.7162,303.7701,403.9183,698212738349950976,GALAXY,0.04933561,620,52375,563
1237653008657154640,316.868113870102,10.6303482975914,18.6239,17.12911,16.54736,16.30766,16.18236,1754,301,5,52,35.51692,140.7199,240.4682,299.8713,336.5534,819749732460029952,STAR,-0.0002851392,728,52520,344
1237661811739066704,187.504259005699,11.6614454119828,19.16472,17.76102,17.07891,16.66331,16.39051,3804,301,2,198,21.58207,78.6302,147.3792,216.1103,277.8394,1818374582155896832,GALAXY,0.08165811,1615,53166,168
1237661388138086545,199.909605184005,57.4078852692178,18.66966,17.93786,17.43002,16.96748,16.84991,3705,301,5,48,34.05093,66.81226,106.6572,163.3078,181.9821,1485223377282033664,GALAXY,0.1425401,1319,52791,587
1237652901830131716,19.0992776351032,-8.81230330560702,17.71036,16.71237,16.37488,16.26343,16.20552,1729,301,6,209,82.38593,206.5623,281.8704,312.34,329.4494,3207851362163386368,STAR,0.0001507318,2849,54454,591
1237661950814650403,238.767361350594,8.2248777482618,18.43079,17.45307,17.32879,17.3204,17.32518,3836,301,5,595,42.43071,104.4174,117.0804,117.9881,117.4652,1943304391352150016,STAR,0.0007218922,1726,53137,4
1237661387066376293,207.542980598908,55.2418834853949,19.58212,18.14355,17.31969,16.92776,16.63047,3705,301,3,79,14.69303,55.2811,118.0651,169.3935,222.7455,1489675574841468928,GALAXY,0.1577094,1323,52797,400
1237663272554660309,290.027578584335,77.8388913955185,19.28444,17.60177,16.97857,16.74535,16.64482,4144,301,3,43,19.32859,91.05225,161.648,200.3827,219.8203,2090841535246526464,STAR,-0.0001817362,1857,53182,165
1237657627912765492,164.210467952289,49.4689276447591,19.25014,18.12321,17.60873,17.39333,17.29658,2830,301,1,331,19.94903,56.32694,90.47041,110.3235,120.6008,986291936585345024,STAR,1.093048e-05,876,52669,13
1237661384383201303,145.579537374499,36.3218363036042,17.63769,16.52431,16.04263,15.8673,15.80134,3704,301,6,97,88.08905,245.6279,382.7803,449.8626,478.0379,3628821935741313024,STAR,0.0002612809,3223,54865,169
1237661971187826867,190.277759723881,7.17279693825296,17.09619,15.66493,14.89357,14.49024,14.16294,3841,301,3,169,145.0517,542.0377,1102.993,1599.207,2161.844,2015447484817500160,GALAXY,0.08206634,1790,53876,315
1237655126079045929,175.407554106008,5.55513882874223,19.30068,17.99823,17.23833,16.83105,16.59332,2247,301,5,98,19.04159,63.19879,127.2531,185.1734,230.498,943643524929185792,GALAXY,0.1582271,838,52378,507
1237662636901466379,215.143876167489,13.0337650883569,19.41355,19.2924,19.13495,19.03432,19.15545,3996,301,3,73,17.1614,19.18808,22.1824,24.3359,21.74298,1923134406436874240,QSO,1.441931,1708,53503,354
1237651753998483563,152.954057836676,2.1255637992685,18.38988,18.16356,17.92092,17.93044,17.99909,1462,301,4,184,44.05976,54.27196,67.86251,67.26969,63.13978,565334552097089536,QSO,1.348909,502,51957,483
1237662300835217587,242.137583355855,33.8853242590302,19.12631,18.22107,17.914,17.7935,17.77767,3918,301,1,301,22.3594,51.4721,68.29635,76.31273,77.42719,12285971104779227136,STAR,-0.000112771,10912,58253,550
1237665357231227217,243.581506282765,36.7079846651599,17.69727,16.79793,16.49842,16.35119,16.24602,4629,301,6,147,83.38535,190.9093,251.5548,288.0876,317.3876,1188998176753870848,GALAXY,0.02947352,1056,52764,174
1237662262706438527,215.534914043873,7.79965969436548,19.46824,18.26325,17.90018,17.76138,17.74487,3909,301,2,134,16.31812,49.51078,69.17117,78.60442,79.8019,3730122967913439232,STAR,0.000146153,3313,54999,60
1237651753485795513,208.174027731537,1.8998392866228,19.00257,17.03572,16.09171,15.67861,15.3494,1462,301,3,553,25.05875,153.3596,365.8615,535.2468,724.8329,596745126559115264,GALAXY,0.08884335,530,52026,66
1237660413184573589,132.823095737952,6.98748917187447,18.75536,17.36761,16.78353,16.55523,16.43907,3478,301,5,110,31.46632,112.9684,193.4591,238.7307,265.6868,2608853640080812032,STAR,0.0001236745,2317,54152,522
1237662664294334979,248.045487369106,22.1384856001533,19.40744,18.1347,17.3763,17.01394,16.70872,4002,301,6,263,17.25819,55.7339,112.0674,156.4671,207.2552,1768863848569268224,GALAXY,0.09861853,1571,53174,273
1237657630057627812,154.831823933183,48.9540248354108,19.44426,17.42773,16.39139,15.92144,15.54037,2830,301,5,291,16.68264,106.8831,277.6146,427.9809,607.9253,984133864584669184,GALAXY,0.1184989,874,52338,354
1237654382518141012,148.298332481126,57.0276129322942,19.55594,17.68505,16.78455,16.40597,16.08892,2074,301,4,179,15.05169,84.32955,193.2764,273.9126,366.8015,627280217538324480,GALAXY,0.08079625,557,52253,560
1237655370353213444,146.733032763903,56.9292999799566,17.29755,16.41786,16.1649,16.07569,16.06094,2304,301,4,66,120.4982,270.9282,342.0111,371.2984,376.3751,6434568656827731968,STAR,-0.000669889,5715,56657,184
1237665330391351498,190.774880333161,32.5550998837662,18.79016,17.73803,17.33546,17.09499,17.10783,4623,301,4,203,30.47373,80.31344,116.3628,145.2122,143.5013,2223781296398690304,GALAXY,0.08133881,1975,53734,469
1237661384383856762,147.384353583698,36.9618470937908,18.9562,18.89162,18.51383,18.36459,18.29519,3704,301,6,107,26.15206,27.75528,39.3065,45.09786,48.06416,1795921452403288064,QSO,1.107089,1595,52999,404
1237657630051139859,136.49653721232,41.5083414523029,17.88491,16.53575,15.95614,15.62734,15.39401,2830,301,5,192,70.15128,243.0533,414.5174,561.133,695.6562,1351197855594866688,GALAXY,0.03998863,1200,52668,429
1237663783119814778,351.255944389808,-0.746455337848503,19.43595,18.37663,17.86912,17.54876,17.39162,4263,301,2,57,16.8108,44.60118,71.1788,95.6078,110.4927,765624892824512512,GALAXY,0.1075532,680,52200,47
1237663916806897847,128.785216863356,60.0861981795063,19.39307,17.52431,16.60873,16.19036,15.87034,4294,301,3,152,17.48815,97.78613,227.2517,334.0838,448.6035,2109979381068752896,GALAXY,0.08213057,1874,54452,156
1237658203447427183,216.6989987013,44.2991740753623,18.51166,17.37264,16.74342,16.37115,16.17335,2964,301,1,469,39.38495,112.4463,200.7398,282.84,339.3572,1450241039448172544,GALAXY,0.09488709,1288,52731,298
1237662641194205339,240.852587655235,29.1134929262644,15.99711,10.31169,9.390263,9.114689,9.369033,3997,301,3,39,399.169,75045.46,175345.6,226008.2,178808.0,3383473337891135488,STAR,1.283877e-05,3005,54876,524
1237662194004131995,226.151827788135,34.0416577864806,19.11667,17.98778,17.29437,16.88787,16.68425,3893,301,2,396,22.5587,63.80987,120.8516,175.732,211.9799,1559444815521802240,GALAXY,0.1524089,1385,53108,267
1237657069546242371,22.2744905523148,-1.00259858588157,18.93929,17.91941,17.55618,17.43957,17.40032,2700,301,1,14,26.5627,67.95703,94.95729,105.7233,109.6108,10503725418837987328,STAR,-0.0002412407,9329,57688,746
1237651191891034145,122.201657242915,45.4275343046329,19.16226,18.20553,17.87823,17.77975,17.74221,1331,301,5,129,21.63101,52.21404,70.58377,77.28526,79.99796,7194502158750076928,STAR,0.0005963743,6390,56244,6
1237662534361153799,239.451664783099,9.03630079500299,18.52983,17.08985,16.36274,15.95819,15.68159,3972,301,4,104,38.73117,145.9014,285.04,413.7361,533.7792,1945654598983247872,GALAXY,0.07186297,1728,53228,362
1237651823247884342,219.772136207194,4.57471637017435,18.91934,17.93283,17.52839,17.26282,17.13969,1478,301,5,78,27.05537,67.12202,97.41932,124.4146,139.3518,659923614396606464,GALAXY,0.0575494,586,52023,532
1237661951336972419,205.361306964007,12.9942722130195,19.51401,17.67584,16.79731,16.41109,16.0625,3836,301,6,373,15.64449,85.04778,191.0193,272.6237,375.8363,1999656848273205248,GALAXY,0.07378644,1776,53858,213
1237663543142318590,321.648564947745,-0.0023665724040553,19.34177,18.03594,17.41936,17.04417,16.81656,4207,301,3,115,18.33441,61.041,107.7101,152.1706,187.659,1112460068739115008,GALAXY,0.1329952,988,52520,258
1237655474512527582,260.796345596522,26.8912406756016,17.48345,15.81902,15.16136,14.86299,14.73743,2328,301,6,163,101.5361,470.319,861.8953,1134.495,1273.587,2456766163925886976,STAR,1.729506e-05,2182,53905,191
1237659325483974833,225.955229884106,52.4098434480142,19.11923,17.87808,17.31381,16.95231,16.74138,3225,301,3,108,22.50561,70.59374,118.7068,165.6051,201.1136,1311766345553045504,GALAXY,0.05891426,1165,52703,338
1237662262699032659,198.380140702461,9.09452527444813,19.29441,17.45036,16.50776,16.06845,15.71181,3909,301,2,21,19.15191,104.6782,249.3992,373.782,519.1286,2024447811705137152,GALAXY,0.08363751,1798,53851,290
1237665565002891487,229.435922782991,17.453563638409,19.30394,18.12609,17.71198,17.47565,17.41603,4678,301,1,187,18.9845,56.17759,82.26354,102.2674,108.0363,3144650606094870528,GALAXY,0.04481295,2793,54271,44
1237653651300745319,6.30031860608187,14.4113390015167,18.41656,17.28154,16.86913,16.71555,16.66484,1904,301,2,191,42.99031,122.2875,178.7923,205.9584,215.8036,847830979740461056,STAR,-6.102343e-05,753,52233,103
1237661352168914948,178.676565528186,56.6821092329544,17.65491,16.72106,16.47743,16.37437,16.3659,3697,301,2,66,86.703,204.9156,256.4638,282.0015,284.2078,1478371220800956416,STAR,-0.000422477,1313,52790,235
1237657771783946304,150.745352882248,53.1067890408061,18.85553,18.99049,18.72569,18.71892,18.85619,2863,301,5,175,28.6931,25.33952,32.33833,32.53998,28.65721,1016801455597709312,QSO,1.239396,903,52400,414
1237665227842519162,185.546838796417,33.1312587361515,19.39898,18.28486,17.72565,17.28724,17.16142,4599,301,5,104,17.39317,48.53473,81.23418,121.6471,136.5907,2266538831111022592,GALAXY,0.1675798,2013,53818,372
1237661949723214015,197.890193148161,12.1728087094293,19.1511,17.75949,17.06763,16.69954,16.42289,3836,301,3,325,21.85459,78.74117,148.9178,209.0178,269.6756,1910748676771309568,GALAXY,0.07982361,1697,53142,351
1237661382770622585,141.371624538396,33.2360123125899,17.86354,16.04809,15.21556,14.81594,14.50769,3704,301,3,67,71.54521,380.858,819.9312,1184.747,1573.707,1792607249328269312,GALAXY,0.05057828,1592,52990,635
1237663916263014818,115.509203612301,46.1564758005527,19.40885,18.16789,17.58168,17.21538,16.94015,4294,301,2,45,17.23584,54.05597,92.75262,129.9711,167.4685,2102066176841508864,GALAXY,0.06319255,1867,53317,40
1237663229077881114,334.465374399262,68.2398767382283,18.31941,16.83211,16.13482,15.81482,15.62082,4134,301,2,192,47.01466,184.9926,351.618,472.1426,564.5104,2856409778643560448,STAR,-1.652335e-05,2537,53917,6
1237663546897924259,116.732612912757,44.2657002806778,16.72388,15.29983,14.60102,14.21823,13.95866,4208,301,2,77,204.3847,758.6944,1444.081,2054.513,2609.369,1954582355570092032,GALAXY,0.03123145,1736,53052,73
1237658303813058754,149.515314458212,55.1466049257875,19.21291,17.60708,16.65497,16.21273,15.8886,2987,301,4,23,20.64499,90.60807,217.7761,327.2719,441.1226,1064094478593189888,GALAXY,0.1391798,945,52652,433
1237664094508548116,126.708806355917,24.8272444332283,17.36773,16.28786,15.83663,15.64581,15.55793,4335,301,6,112,112.9551,305.3918,462.7538,551.6663,598.1717,1785708637742721024,STAR,-0.0002111647,1586,52945,114
1237652947452887209,2.28502532255047,-10.0344299692433,19.53953,18.548,18.26071,18.13319,18.14001,1740,301,3,37,15.28095,38.08886,49.62658,55.81083,55.45208,733101612762949632,STAR,-0.0004486792,651,52141,512
1237661851484684496,229.803515595615,35.7007869925594,19.00016,17.02302,16.01383,15.58317,15.25831,3813,301,4,460,25.11437,155.1642,393.0679,584.429,788.2693,1523349497629927424,GALAXY,0.1106279,1353,53083,25
1237653501505568835,35.1667153904528,-8.76257885824733,18.94041,18.62192,18.56801,18.54273,18.3578,1869,301,3,66,26.5353,35.58179,37.39299,38.27349,45.36944,752133609636259840,QSO,0.7567223,668,52162,118
1237648721743577367,125.158928572612,0.371305621635377,16.41389,15.18017,15.06666,15.06942,15.12667,756,301,4,62,271.9216,847.0911,940.4542,938.0663,889.8841,2316145222309931008,STAR,8.301184e-05,2057,53816,615
1237658613052866619,163.049344922394,48.0326425831345,17.76972,16.24965,15.67521,15.46468,15.39,3059,301,4,56,78.00255,316.3284,536.9288,651.822,698.2339,2691021242563061760,STAR,3.322685e-05,2390,54094,438
1237662499475488914,251.570596896402,27.0806036182196,18.01173,17.10448,14.44967,15.65821,15.59568,3964,301,3,271,62.41747,143.948,1660.091,545.4029,577.7333,1902841544486971392,STAR,-0.0001409867,1690,53475,257
1237658424078172251,131.339428782069,4.68679438702302,18.78772,16.76878,15.83752,15.34472,15.10996,3015,301,4,115,30.54243,196.104,462.3707,727.9676,903.6856,1337709871277041664,GALAXY,0.06023991,1188,52650,512
1237655463245250601,235.743021728539,48.8387628615152,18.83164,17.92544,17.71418,17.60445,17.64094,2326,301,1,270,29.33159,67.58091,82.09697,90.82781,87.81965,9490433648060813312,STAR,-0.0003665901,8429,57893,812
1237659131675738185,228.017629351102,45.5353466072539,18.14997,16.93579,16.38312,16.17031,16.07356,3180,301,2,141,54.9552,168.1456,279.7379,340.31,372.0262,3816947002206429184,STAR,-0.0004345406,3390,54945,532
1237657772324487232,163.677047892697,56.8695761728111,19.44933,17.53095,16.66866,16.2823,15.95112,2863,301,6,231,16.60489,97.1894,215.0488,306.9584,416.439,1021301481359304704,GALAXY,0.07630458,907,52373,401
1237662501080858860,242.412924093988,36.2609842684679,19.36616,17.43455,16.3033,15.84903,15.47031,3964,301,6,191,17.92712,106.2139,301.0783,457.497,648.4454,1893938244014336000,GALAXY,0.1455213,1682,53173,635
1237658423554474085,161.423805912468,6.73587281982608,19.25741,18.33962,17.82507,17.45529,17.32499,3015,301,3,316,19.81597,46.14777,74.12588,104.204,117.4858,1127098144434186240,GALAXY,0.1494116,1001,52670,263
1237662246594937056,207.628601501684,7.2874925945991,18.81744,17.40232,16.52935,16.09863,15.79465,3905,301,4,52,29.71758,109.4143,244.4892,363.5356,480.9917,2032365395339405312,GALAXY,0.1500086,1805,53875,422
1237661852004581545,179.458556163604,45.6328539131104,19.46162,18.02471,17.30592,16.94076,16.65948,3813,301,5,201,16.41798,61.67568,119.5722,167.3773,216.8724,1541456530094712832,GALAXY,0.1047094,1369,53089,362
1237648720165077017,198.488008965166,-0.951400126843735,18.81923,17.95336,17.6914,17.59305,17.57167,756,301,1,552,29.66858,65.8651,83.83783,91.78617,93.60619,8394755997768634368,STAR,0.000224373,7456,56727,168
1237662474763632832,234.477368666586,38.375810714399,19.30295,18.39672,18.12999,18.06356,18.03006,3958,301,5,30,19.00191,43.78329,55.97596,59.50759,61.36378,5603847479634448384,STAR,-0.001250626,4977,56047,886
1237661850929594538,175.592749290475,44.5507521930867,19.47257,18.3194,17.55565,17.14185,16.87199,3813,301,3,182,16.25318,47.01539,95.00341,139.0786,178.3187,1539147005819906048,GALAXY,0.1661871,1367,53083,152
1237659131144962349,242.076844646323,36.5647047320743,19.4747,18.4558,18.01102,17.80827,17.7294,3180,301,1,234,16.22135,41.46484,62.45849,75.28181,80.94731,3916044611885309952,STAR,-0.0007285266,3478,55008,599
1237658205041262638,160.361103789491,47.71428280608,18.9155,16.94402,15.92516,15.49176,15.15465,2964,301,4,213,27.15124,166.875,426.515,635.7668,867.2384,1083256216949385216,GALAXY,0.1082236,962,52620,511
1237651822179975385,232.982784729757,3.09139189847081,19.0113,17.5911,16.8246,16.36116,16.0567,1478,301,3,167,24.85792,91.95129,186.2773,285.4535,377.8498,667716403108800512,GALAXY,0.09750029,593,52026,210
1237662307264823421,219.522623505148,37.5192224958438,19.54539,19.57364,19.47237,19.29013,19.20202,3919,301,5,105,15.19867,14.80905,16.25649,19.22687,20.82792,12106810907528810496,QSO,1.937744,10753,58242,33
1237661361302274138,215.2288615343,43.0523796834791,19.4497,18.66747,18.06566,17.63774,17.44599,3699,301,3,166,16.59927,34.12007,59.39288,88.08461,105.0951,1569506721305487360,GALAXY,0.2183137,1394,53108,8
1237661434852474905,208.88985333778,45.2722756394597,18.94945,18.62445,18.4126,18.33241,18.21838,3716,301,4,149,26.31516,35.499,43.14768,46.4546,51.58914,1650701806306617344,QSO,0.8493335,1466,53083,482
1237665549975814387,243.749824507794,15.6903395112449,17.59044,16.36528,15.86442,15.63478,15.52742,4674,301,5,268,92.00784,284.372,451.0588,557.2988,615.2234,2451142722644371456,STAR,-0.0006756975,2177,54557,213
1237659326032445767,252.532580049177,34.0089500192714,19.25358,17.69042,16.91833,16.51516,16.2133,3225,301,4,285,19.88595,83.91361,170.8702,247.7067,327.0982,1323068501929256960,GALAXY,0.1003958,1175,52791,495
1237661818170310849,191.193213712041,13.3166309433339,19.51777,17.78674,17.04139,16.76489,16.596,3805,301,6,27,15.59046,76.78971,152.5609,196.8083,229.9291,3664819122136522752,STAR,8.804606e-07,3255,54885,54
1237662224604856364,186.487515372687,39.6545298045801,18.09787,17.92074,17.77072,17.8173,17.70698,3900,301,3,382,57.65659,67.87401,77.9315,74.65825,82.63689,2236076855708903424,QSO,0.9530991,1986,53475,144
1237664852571848853,218.915723559906,31.8670564450149,19.23855,18.11794,17.62533,17.18973,17.00761,4512,301,2,136,20.16322,56.60102,89.09755,133.0789,157.3783,2072796630473533440,GALAXY,0.09477156,1841,53491,54
1237651252022673512,130.239733496904,52.0480533658631,19.38418,19.27857,19.24644,18.97063,18.99558,1345,301,5,161,17.632,19.43402,20.01747,25.80632,25.19959,503363876390201344,QSO,1.76803,447,51877,315
1237648705667530797,221.535691176095,0.864330354166037,17.83591,16.91752,16.4318,15.99693,15.8744,752,301,6,521,73.38983,170.998,267.4742,399.2358,446.9273,604666008342390784,GALAXY,0.07362789,537,52027,210
1237658425165807796,163.054837858533,8.15468364490001,18.57661,16.73334,15.864,15.44961,15.12365,3015,301,6,327,37.09804,202.611,451.2328,660.9294,892.3608,3249405480728029184,GALAXY,0.06715084,2886,54498,212
1237651191895293969,131.697126684047,52.9086993191639,18.96784,17.67998,17.68818,17.71858,17.74065,1331,301,5,194,25.87317,84.72453,84.08684,81.76456,80.11292,8211420130653261824,STAR,-0.0006815867,7293,56741,844
1237654029251707011,164.399758241825,1.81940345606431,19.1745,17.74173,17.03131,16.66558,16.35887,1992,301,2,97,21.38861,80.04022,153.9845,215.6581,286.0539,572043778911660032,GALAXY,0.03859723,508,52366,315
1237657190371623061,7.58258940431887,-0.434062616595457,19.01607,18.78099,18.67104,18.56924,18.32001,2728,301,2,463,24.74911,30.73259,34.00788,37.35038,46.97736,10588134932491816960,QSO,2.103103,9404,58045,626
1237660559745679811,67.6091109960901,26.2464509917978,19.50664,17.66199,16.6835,16.17594,15.88635,3512,301,6,39,15.75108,86.13954,212.1285,338.5521,442.0375,1414224614803924992,QSO,0.9671201,1256,52902,343
1237657069549977734,30.7636175089053,-0.856041020083356,19.51162,18.06125,17.54764,17.32481,17.23396,2700,301,1,71,15.67892,59.63482,95.70728,117.5102,127.762,8255114721768001536,STAR,0.0001615769,7332,56683,60
1237658424619892851,142.368532743586,6.18795788870019,18.39267,16.88364,16.30642,16.11045,16.00253,3015,301,5,189,43.94699,176.4179,300.215,359.5993,397.178,2681895847066626048,STAR,0.0001460625,2382,54169,8
1237657590317318180,161.739865054062,52.5378069273079,17.81256,16.88196,16.56176,16.44208,16.45031,2821,301,3,110,74.98495,176.6915,237.299,264.9529,262.9492,1137204030330660864,STAR,7.636135e-05,1010,52649,164
1237659149924171886,228.210816862458,51.6244274081703,19.54196,17.14672,16.15161,15.81021,15.61341,3184,301,4,62,15.24681,138.4561,346.2238,474.1508,568.3771,3712209173744820224,STAR,-2.258812e-05,3297,54941,426
1237655464839282827,169.585420120711,61.6456102625196,18.98225,17.93302,17.33826,16.91878,16.7302,2326,301,4,17,25.5321,67.11044,116.0636,170.7998,203.1953,872625242864904192,GALAXY,0.1395859,775,52295,192
1237654387340345562,122.281062922158,42.0790474562833,19.31863,18.15001,17.84664,17.60376,17.52905,2075,301,5,32,18.72944,54.95349,72.66769,90.88581,97.3542,614804333170550784,GALAXY,0.06136806,546,52205,229
1237651737388515705,227.889719803894,2.59243944485903,18.8552,16.81296,15.76212,15.32437,14.94632,1458,301,5,688,28.70182,188.2846,495.6244,741.7407,1050.684,664304069292091392,GALAXY,0.1124751,590,52057,84
1237664817672290409,170.164799742315,35.6129872697983,17.906,16.35885,15.76009,15.40888,15.1412,4504,301,1,91,68.8017,286.0629,496.5514,686.1984,878.0491,2376908352174188544,GALAXY,0.04253074,2111,53467,486
1237660344470798449,138.114846080348,37.4455863205041,18.92189,16.90288,15.91824,15.47963,15.1704,3462,301,5,197,26.99181,173.3198,429.245,642.9039,854.7539,5227604219641745408,GALAXY,0.1044777,4643,55946,185
1237652629097742543,358.01241865447,-10.6214707276177,19.51918,19.63982,19.57228,19.27252,19.31936,1666,301,2,179,15.57018,13.93324,14.82716,19.54146,18.68863,8068291202175488000,QSO,1.872499,7166,56602,336
1237661465984237588,231.324995851274,38.3543965758024,18.93444,17.97262,17.68092,17.57328,17.57707,3723,301,6,46,26.68157,64.70723,84.65096,93.4732,93.14202,3277552705752557568,STAR,-0.0003136875,2911,54631,211
1237661958292832443,194.91485022028,51.7840050818273,19.44574,18.51117,18.25866,18.17731,18.12132,3838,301,3,15,16.65992,39.40318,49.72016,53.5886,56.41551,998769739377436672,STAR,-0.0009594392,887,52376,351
1237664836999315609,125.237287848031,21.7775536848011,19.318,19.16085,19.13168,18.84337,18.83904,4508,301,5,86,18.74029,21.65966,22.24935,29.01584,29.11407,2169713629807536128,QSO,1.731994,1927,53321,380
1237655499199283346,199.028731407311,-2.15295882881696,18.43223,17.15601,16.4919,16.07897,15.82048,2334,301,4,21,42.37453,137.2763,253.0693,370.1784,469.6847,382956085050370048,GALAXY,0.08259342,340,51990,546
1237653009194614923,318.011691074897,11.3865832411124,18.12169,17.08532,16.69117,16.52372,16.47875,1754,301,6,61,56.40525,146.5121,210.636,245.7598,256.152,819798935605372928,STAR,-0.00079886,728,52520,523
1237651273513500810,199.200090792168,67.4732442028445,17.90981,15.9066,14.99982,14.58245,14.26595,1350,301,5,405,68.56065,433.8689,1000.167,1469.0,1966.158,558545892949387264,GALAXY,0.06623513,496,51988,362
1237663234449473638,358.794270231522,35.1163316496136,18.73395,17.56002,17.47039,17.51028,17.5123,4135,301,4,236,32.09325,94.6217,102.7646,99.05717,98.86802,2116706722998413312,STAR,-0.0003435862,1880,53262,54
1237659119333277725,242.19670819483,37.2365271947809,18.63819,17.41187,16.8869,16.64987,16.52718,3177,301,3,226,35.05233,108.4554,175.89,218.8013,244.9762,3916045161641123840,STAR,-0.0004129502,3478,55008,601
1237648721236328581,192.753526532096,-0.0337775573805674,19.22064,17.7581,17.00948,16.59177,16.28853,756,301,3,514,20.49858,78.84241,157.1115,230.8305,305.2005,328904911670503424,GALAXY,0.0703079,292,51609,517
1237660558671872429,67.4473328435936,25.5388021668717,18.36952,16.82897,16.21671,15.94698,15.81887,3512,301,4,38,44.89393,185.5289,326.0724,418.0292,470.3813,1414215818710902784,STAR,-8.234497e-05,1256,52902,311
1237663230145724572,300.324990921139,77.8504388563141,18.60352,17.08099,16.41352,16.15118,16.03708,4134,301,4,102,36.18968,147.0965,272.0152,346.3604,384.7383,1869097803398014976,STAR,-8.336752e-05,1660,53230,378
1237662224629498387,248.77159487121,20.0204308723826,18.94588,17.8695,17.22207,16.81784,16.58505,3900,301,3,758,26.40206,71.15391,129.1726,187.4411,232.2596,1867927648047491072,GALAXY,0.07664547,1659,53224,217
